mode,network,run,ttfb,fcp,lcp,cls,tti
CSR;unthrottled;1;1,7439999999999998;31,287;156,512;0;31,287
CSR;unthrottled;2;2,203;68,183;158,567;0;68,183
CSR;unthrottled;3;1,6249999999999998;34,432;159,546;0;34,432
CSR;unthrottled;4;2,329;34,66;159,823;0;34,66
CSR;unthrottled;5;1,673;32,892;158,011;0;32,892
CSR;unthrottled;6;2,347;32;164,081;0;32
CSR;unthrottled;7;2,0600000000000005;75,18;165,559;0;75,18
CSR;unthrottled;8;1,81;27,253;159,293;0;27,253
CSR;unthrottled;9;2,11;29,722;161,799;0;29,722
CSR;unthrottled;10;1,8060000000000003;31,513;156,645;0;31,513
SSR;unthrottled;1;55,095;102,956;109,924;0,0906975133525961;322,144
SSR;unthrottled;2;45,897;91,484;91,484;0,08486616174882526;293,61
SSR;unthrottled;3;48,958;90,135;97,021;0,08140586930508129;300,607
SSR;unthrottled;4;45,585;94,155;108,047;0,08318154569068675;302,515
SSR;unthrottled;5;44,711;92,13;92,13;0,07790004669760384;297,092
SSR;unthrottled;6;46,977000000000004;98,837;98,837;0,08318154569068675;304,568
SSR;unthrottled;7;46,312;96,351;96,351;0,08604994600589558;305,137
SSR;unthrottled;8;46,634;94,243;94,243;0,07691087506931676;294,618
SSR;unthrottled;9;48,419000000000004;96,584;96,584;0,08427426962029011;307,669
SSR;unthrottled;10;45,633;88,319;88,319;0,08372790765548843;301,086
CSR;fast4g;1;1,9009999999999998;66,049;6023,301;0;66,049
CSR;fast4g;2;2,1239999999999997;55,305;6005,585;0;55,305
CSR;fast4g;3;1,586;64,146;6014,44;0;64,146
CSR;fast4g;4;1,9620000000000002;60,799;6004,151;0;60,799
CSR;fast4g;5;1,754;63,706;5993,135;0;63,706
CSR;fast4g;6;1,617;59,181;6002,538;0;59,181
CSR;fast4g;7;2,067;64,455;6007,794;0;64,455
CSR;fast4g;8;1,8770000000000002;58,137;6001,506;0;58,137
CSR;fast4g;9;1,603;61,808;5991,263;0;61,808
CSR;fast4g;10;2,166;71,066;6007,469;0;71,066
SSR;fast4g;1;50,108;144,371;533,644;0,034517792151883955;11326,908
SSR;fast4g;2;45,792;135,291;531,487;0,034517792151883955;11363,959
SSR;fast4g;3;45,997;134,268;544,396;0,034517792151883955;11341,381
SSR;fast4g;4;44,097;102,563;540,486;0,034517792151883955;11337,013
SSR;fast4g;5;46,518;140,067;536,279;0,034517792151883955;11331,436
SSR;fast4g;6;42,662;121,733;524,894;0,034517792151883955;11325,616
